#,Sample ,Lake Name,Date,Lab#,δ18O,Result,Repeat,δ2H,Result,Repeat,,,pH,EC,,AZD
,,,,,H2O,VSMOW  ± 0.2‰,,H2O,VSMOW  ± 0.8‰,,,,,uS/cm,,
1,26,H20,June 2022,483550,X,-12.56,-12.49,X,-121.37,-122.09,,,,,,
2,27,Dot,June 2022,483551,X,-13.05,,X,-129.40,,,,,,,
3,28,ALF,June 2022,483552,X,-14.07,,X,-134.29,,,,,,,
4,29,AP,June 2022,483553,X,-15.93,,X,-142.81,,,,,,,
5,30,Otter,June 2022,483554,X,-11.75,-11.73,X,-119.93,-120.21,,,,,,
6,40,Random2,June 2022,483555,X,-16.94,,X,-144.37,,,,,,,
7,41,W,June 2022,483556,X,-15.23,,X,-133.70,,,,,,,
8,42,C,June 2022,483557,X,-20.49,-20.53,X,-166.22,-166.30,,,,,,
9,43,T,June 2022,483558,X,-17.71,,X,-152.02,,,,,,,
10,44,B,June 2022,483559,X,-18.30,-18.15,X,-153.15,-152.78,,,,,,
11,45,Random8,June 2022,483560,X,-15.25,,X,-139.46,,,,,,,
12,46,M,June 2022,483561,X,-16.65,,X,-146.18,,,,,,,
13,47,Random11,June 2022,483562,X,-17.99,,X,-151.91,,,,,,,
14,48,Random3,June 2022,483563,X,-16.74,,X,-144.96,,,,,,,
15,49,Random5,June 2022,483564,X,-17.67,-17.62,X,-148.34,-148.64,,,,,,
16,50,Random9,June 2022,483565,X,-15.54,,X,-137.84,,,,,,,
17,51,Random10,June 2022,483566,X,-17.54,,X,-147.27,,,,,,,
18,52,Random7,June 2022,483567,X,-15.43,,X,-139.80,,,,,,,
19,53,Random4,June 2022,483568,X,-17.12,,X,-145.53,,,,,,,
20,54,Random12,June 2022,483569,X,-18.53,-18.58,X,-153.01,-152.29,,,,,,
21,55,TF,June 2022,483570,X,-12.98,,X,-124.29,,,,,,,
22,56,B,June 2022,483571,X,-14.87,,X,-135.99,,,,,,,
23,57,Dot,June 2022,483572,X,-11.55,,X,-116.76,,,,,,,
24,58,S,June 2022,483573,X,-14.36,,X,-132.27,,,,,,,
25,59,S,June 2022,483574,X,-12.77,-12.84,X,-125.84,-125.81,,,,,,
26,60,M,June 2022,483575,X,-13.64,,X,-129.49,,,,,,,
27,61,T,June 2022,483576,X,-14.74,,X,-132.75,,,,,,,
28,62,HH,June 2022,483577,X,-12.94,,X,-126.94,,,,,,,
29,63,M1,June 2022,483578,X,-13.79,,X,-131.94,,,,,,,
30,64,P,June 2022,483579,X,-11.18,-11.16,X,-118.56,-118.65,,,,,,
31,65,FJ,June 2022,483580,X,-15.80,,X,-140.56,,,,,,,
32,66,H22,June 2022,483581,X,-14.90,,X,-137.77,,,,,,,
33,67,M2,June 2022,483582,X,-15.41,,X,-140.11,,,,,,,
34,68,H23,June 2022,483583,X,-12.60,,X,-125.94,,,,,,,
35,69,H21,June 2022,483584,X,-12.61,-12.55,X,-120.49,-120.59,,,,,,
